CVE_ENT,Región,Mercado,Concesionaria,VExperienciaClienteNov,VExperienciaClienteAcum,VSatisfacciónNov,VSatisfacciónAcum,VFConfianzaNov,VConfianzaAcum,VCalidadTNov,VCalidadTAcum,VAtenciónNov,VAtenciónAcum,VAparienciaFísNov,VAparienciaFísAcum,VOpiniónGeneralNov,VOpiniónGenAcum,VCortesíaNov,VCortesíaAcum,VConocimientoNov,VConocimientoAcum,VAyudaNov,AAyudaNov,VInvitaciónNov,VInvitaciónAcum,VPManejoNov,VPManejoAcum,VExperienciaPagoNov,VExperienciaPagoAcum,VProductosFinNov,VProductosFinAcum,VOpcionPagoNov,VOpciónPagoAcum,VContratoNov,VContratoAcum,VTDocsNov,VTDocsAcum,VEntregaNov,VEntregaAcum,VEntregaFechaNov,VEntregaFechaAcum,VLimpiezaNov,VLimpiezaAcum,VEstaodoNov,VEstadoAcum,VExplicaciónCarNov,VExplicaciónCarAcum,VTEntregaNov,VTEntregaAcum,VEAgendarNov,VEAgendaAcum,VLVerificaciónNov,VLVerificaciónAcum,VCompromisosNov,VCompromisosAcum,VSeguimientoNov,VSeguimientoAcum,VQuejasNov,VQuejasAcum,VVelocidadQuejasNov,VVelocidadQuejasAcum,VEncantoNov,VEncantoAcum,VCompartirNov,VCompartirAcum
2,M3 - M3,C - C,M2686 - SURMAN BC,100.0,74.3,100.0,70.6,100.0,74.2,100.0,83.6,100.0,85.7,100.0,75.0,100.0,81.0,-,77.9,-,44.2,-,51.0,-,65.4,100.0,78.9,100.0,73.4,-,52.6,-,56.4,-,40.2,-,35.3,100.0,70.9,-,5.4,-,56.8,-,61.1,-,44.6,-,29.1,-,34.6,100.0,93.7,100.0,68.7,100.0,73.6,100.0,76.9,-,34.5,100.0,72.2,100.0,79.7
8,M3 - M3,C - C,M3288 - Alden Juarez,97.9,87.9,100.0,84.7,87.5,88.0,87.5,88.0,87.5,90.1,50.0,77.6,100.0,92.6,-,53.1,-,50.0,-,50.0,-,59.4,100.0,84.4,100.0,84.9,-,64.0,-,74.0,-,75.0,-,59.4,100.0,89.4,-,75.0,-,94.4,-,62.5,-,76.4,-,55.6,-,87.5,100.0,98.2,100.0,83.8,100.0,90.9,100.0,84.6,-,42.5,100.0,92.5,87.5,84.0
9,M4 - M4,A - A,M1555 - Lincoln Picacho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,M4 - M4,A - A,M1577 - Lincoln Interlomas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,M4 - M4,A - A,M1578 - Lincoln Cancun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,M4 - M4,A - A,M2561 - Lincoln BC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,M4 - M4,A - A,M2562 - Lincoln Hermosillo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,M4 - M4,A - A,M2567 - Lincoln CAVSA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,M4 - M4,A - A,M2571 - Lincoln Sinaloa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,M4 - M4,A - A,M3557 - Lincoln Monterrey,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,M4 - M4,A - A,M3566 - Lincoln Chihuahua,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,M4 - M4,A - A,M3569 - Lincoln Laguna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
