CVE_ENT,Región,Mercado,Concesionaria,VExperienciaClienteNov,VExperienciaClienteAcum,VSatisfacciónNov,VSatisfacciónAcum,VFConfianzaNov,VConfianzaAcum,VCalidadTNov,VCalidadTAcum,VAtenciónNov,VAtenciónAcum,VAparienciaFísNov,VAparienciaFísAcum,VOpiniónGeneralNov,VOpiniónGenAcum,VCortesíaNov,VCortesíaAcum,VConocimientoNov,VConocimientoAcum,VAyudaNov,AAyudaNov,VInvitaciónNov,VInvitaciónAcum,VPManejoNov,VPManejoAcum,VExperienciaPagoNov,VExperienciaPagoAcum,VProductosFinNov,VProductosFinAcum,VOpcionPagoNov,VOpciónPagoAcum,VContratoNov,VContratoAcum,VTDocsNov,VTDocsAcum,VEntregaNov,VEntregaAcum,VEntregaFechaNov,VEntregaFechaAcum,VLimpiezaNov,VLimpiezaAcum,VEstaodoNov,VEstadoAcum,VExplicaciónCarNov,VExplicaciónCarAcum,VTEntregaNov,VTEntregaAcum,VEAgendarNov,VEAgendaAcum,VLVerificaciónNov,VLVerificaciónAcum,VCompromisosNov,VCompromisosAcum,VSeguimientoNov,VSeguimientoAcum,VQuejasNov,VQuejasAcum,VVelocidadQuejasNov,VVelocidadQuejasAcum,VEncantoNov,VEncantoAcum,VCompartirNov,VCompartirAcum
15,M1 - M1,B - B,M1626 - Sanchez Automotriz,-12.5,83.2,100.0,82.2,0.0,82.5,100.0,90.7,100.0,84.4,100.0,78.0,100.0,85.7,-,73.0,-,45.9,-,47.3,-,69.6,100.0,76.3,0.0,79.6,-75.0,55.2,-75.0,60.9,75.0,55.1,-75.0,34.6,-75.0,77.0,-75.0,19.8,100.0,62.0,100.0,65.6,100.0,59.9,100.0,31.8,-75.0,31.9,100.0,99.1,0.0,80.5,100.0,85.0,100.0,83.2,-,25.9,0.0,91.1,-100.0,85.0
15,M1 - M1,B - B,M1687 - Gimsa Automotriz,97.2,84.9,100.0,84.7,100.0,88.5,100.0,89.2,100.0,88.3,100.0,86.8,95.8,89.4,100.0,79.8,100.0,37.7,100.0,48.8,100.0,66.8,83.3,85.6,100.0,81.3,-,50.5,-,54.9,-,53.7,-,40.0,100.0,83.5,-,28.7,-,72.9,-,60.6,-,62.5,-,35.6,-,27.8,83.3,96.3,95.8,83.3,83.3,88.3,83.3,83.0,100.0,39.4,95.8,86.3,95.8,85.6
13,M1 - M1,B - B,M1693 - Zapata (Suc. Pachuca),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,M1 - M1,D - D,M1027 - Motores de Morelos,98.3,84.3,60.0,80.2,95.0,87.4,95.0,89.8,100.0,87.8,100.0,83.4,100.0,88.4,-,52.1,-,30.2,-,37.5,-,34.4,100.0,85.0,100.0,82.8,-,51.3,-,58.8,-,54.0,-,40.0,100.0,81.0,-,18.5,-,66.1,-,55.4,-,61.3,-,31.5,-,62.0,100.0,98.2,95.0,80.7,100.0,87.9,100.0,81.0,-,58.1,95.0,89.5,100.0,83.5
31,M1 - M1,D - D,"M1072 - CDA Peninsula, S.A. de C.V.",45.8,80.5,87.5,79.1,75.0,79.9,75.0,85.8,50.0,83.6,75.0,72.5,50.0,87.5,0.0,82.2,-75.0,52.0,0.0,50.0,0.0,61.1,50.0,69.8,50.0,75.4,0.0,50.0,0.0,50.8,0.0,50.7,-75.0,45.4,87.5,79.0,0.0,35.5,75.0,69.8,0.0,59.3,0.0,55.2,-75.0,46.9,-75.0,41.3,100.0,94.3,50.0,81.2,0.0,82.1,50.0,85.0,75.0,22.2,37.5,83.0,0.0,77.0
31,M1 - M1,D - D,M1728 - CDA Peninsula (Suc. Aeropuerto),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,M1 - M1,D - D,M1073 - CDA Peninsula (Suc. Campeche),100.0,88.1,100.0,86.2,100.0,86.9,100.0,93.2,100.0,83.1,100.0,85.8,100.0,93.3,-,71.7,-,60.0,-,48.2,-,61.7,100.0,82.0,100.0,83.3,-,45.0,-,55.8,-,55.6,-,52.9,100.0,84.4,-,41.0,-,77.0,-,61.0,-,66.0,-,42.0,-,51.7,100.0,96.4,100.0,83.6,100.0,91.1,100.0,84.4,-,37.5,100.0,91.3,100.0,92.8
12,M1 - M1,D - D,M1188 - Acapulco,-,84.3,-,85.5,-,84.4,-,89.9,-,90.3,-,78.9,-,88.3,-,64.6,-,45.8,-,39.6,-,62.5,-,89.6,-,84.9,-,43.4,-,43.4,-,58.3,-,33.3,-,78.6,-,41.7,-,55.6,-,27.8,-,37.5,-,16.7,-,50.0,-,97.9,-,84.2,-,90.7,-,78.9,-,53.1,-,87.7,-,82.5
7,M1 - M1,D - D,"M1299 - Distribuidores de Autocamiones de Chiapas, S.A. de C.V.",74.0,81.3,56.2,76.2,68.8,78.2,75.0,87.4,93.8,85.8,100.0,84.1,100.0,89.5,-,66.7,-,41.7,-,49.1,-,58.7,75.0,76.5,93.8,76.8,75.0,50.0,75.0,60.8,75.0,49.4,75.0,52.0,50.0,79.5,-50.0,33.7,87.5,67.7,0.0,53.6,87.5,63.3,37.5,55.1,87.5,52.2,100.0,98.1,56.2,78.0,100.0,89.9,50.0,78.4,12.5,39.1,56.2,84.2,87.5,79.5
27,M1 - M1,D - D,M1331 - Tabasco Automovilistica,95.1,86.3,95.8,84.5,79.2,84.9,95.8,90.2,100.0,88.4,95.8,84.0,100.0,91.1,-,69.8,-,50.0,-,44.8,-,60.5,100.0,80.9,100.0,83.7,-,54.9,-,60.1,-,58.8,-,54.7,100.0,82.9,-,48.8,-,72.3,-,62.3,-,64.2,-,56.2,-,52.7,100.0,95.6,100.0,85.6,83.3,92.7,100.0,80.7,-,38.7,91.7,89.9,79.2,84.5
30,M1 - M1,D - D,M1393 - Juan Osorio Lopez Autos,81.2,82.0,87.5,82.0,-12.5,80.5,87.5,83.8,50.0,80.2,50.0,76.1,87.5,86.5,100.0,67.3,100.0,48.1,100.0,49.4,75.0,56.4,100.0,78.7,87.5,80.3,75.0,59.5,75.0,48.6,75.0,57.9,75.0,48.6,87.5,81.9,100.0,54.0,100.0,59.7,100.0,57.4,100.0,50.6,100.0,48.3,100.0,54.6,100.0,97.0,87.5,80.1,100.0,87.2,50.0,83.9,0.0,33.3,87.5,82.5,50.0,81.0
30,M1 - M1,D - D,M1396 - Juan Osorio Lopez Autos Minatitlan,-,89.6,-,90.3,-,86.2,-,92.7,-,92.8,-,90.3,-,92.4,-,60.7,-,39.3,-,46.4,-,66.1,-,80.4,-,87.1,-,60.3,-,64.3,-,72.6,-,70.2,-,89.9,-,53.4,-,64.8,-,55.7,-,54.5,-,52.3,-,62.5,-,97.4,-,89.7,-,95.7,-,88.8,-,63.5,-,92.0,-,86.7
7,M1 - M1,D - D,M1402 - DISAUTO (Suc. San Cristobal),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,M1 - M1,D - D,M1403 - Autocamiones de Tapachula (Suc. Comitan),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,M1 - M1,D - D,M1412 - Tabasco Automovilistica (Suc. ATASTA),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,M1 - M1,D - D,M1414 - CDA Peninsula (Suc. Riviera Maya),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,M1 - M1,D - D,M1415 - Autocamiones de Tapachula,87.5,70.3,87.5,65.1,87.5,73.4,100.0,87.9,100.0,67.7,100.0,65.2,100.0,73.4,-,53.7,-,25.9,-,41.3,-,54.6,100.0,77.2,100.0,68.5,-,32.6,-,36.1,-,13.0,-,14.0,100.0,65.6,-,-0.8,-,43.8,-,39.8,-,40.6,-,18.0,-,23.9,100.0,91.5,87.5,62.4,100.0,77.4,100.0,78.5,-,7.5,50.0,75.0,87.5,77.2
7,M1 - M1,D - D,M1790 - Autocamiones de Tapachula (Suc. Arriaga),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,M1 - M1,D - D,M1494 - Chontalpa Automovilistica,-,91.1,-,86.6,-,89.7,-,94.8,-,95.9,-,88.9,-,96.2,-,87.5,-,62.5,-,62.5,-,75.0,-,84.7,-,89.7,-,66.1,-,65.4,-,75.0,-,75.0,-,87.0,-,54.2,-,62.5,-,72.9,-,79.2,-,50.0,-,21.9,-,100.0,-,86.0,-,90.3,-,84.7,-,61.4,-,93.8,-,93.8
20,M1 - M1,D - D,M1638 - Jol Automotriz del Istmo (Suc. Istmo),-,86.1,-,72.6,-,91.4,-,96.1,-,92.2,-,73.4,-,92.2,-,75.0,-,67.9,-,42.9,-,57.1,-,68.8,-,73.4,-,61.5,-,64.6,-,75.0,-,50.0,-,87.5,-,64.3,-,64.3,-,60.7,-,60.7,-,75.0,-,16.7,-,95.0,-,84.4,-,96.9,-,93.8,-,75.0,-,89.1,-,89.8
23,M1 - M1,D - D,M1641 - CDA Peninsula (Suc. Cancun),98.6,78.9,100.0,77.9,100.0,75.3,91.7,83.5,91.7,80.1,91.7,73.7,100.0,87.4,-,65.2,-,38.5,-,38.9,-,44.3,100.0,79.5,100.0,73.7,-,52.1,-,51.1,-,47.6,-,48.0,100.0,79.5,-,29.0,-,63.0,-,52.2,-,58.4,-,43.8,-,46.3,100.0,94.9,91.7,77.7,100.0,82.9,100.0,81.2,-,19.1,100.0,79.5,100.0,75.3
12,M1 - M1,D - D,M1777 - Motores de Guerrero,97.2,84.9,100.0,82.8,91.7,86.2,100.0,95.9,100.0,84.9,100.0,85.3,100.0,86.4,-,63.3,-,45.0,-,56.7,-,60.0,100.0,69.1,100.0,84.6,-,57.5,-,60.0,-,30.8,-,57.1,91.7,87.9,100.0,36.7,100.0,51.7,0.0,71.7,75.0,61.7,100.0,58.3,100.0,47.5,100.0,97.8,100.0,87.1,100.0,86.8,100.0,86.8,-,52.8,91.7,84.2,100.0,79.4
4,M1 - M1,D - D,M1780 - Carmen Automotriz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,M1 - M1,F - F,M1320 - Rivera,84.2,83.4,95.0,83.4,93.8,85.0,93.8,84.5,95.0,85.0,80.0,84.0,75.0,86.6,87.5,68.9,37.5,54.9,50.0,54.1,87.5,52.7,100.0,86.0,95.0,77.3,75.0,42.5,75.0,50.5,0.0,53.6,0.0,50.0,100.0,77.8,-,40.6,-,49.6,-,53.2,-,57.1,-,37.5,-,51.5,100.0,94.9,90.0,82.1,80.0,86.1,100.0,86.6,-,13.8,90.0,90.7,55.0,86.1
29,M1 - M1,F - F,M1375 - Autos de Tlaxcala,83.3,80.9,75.0,78.4,0.0,82.4,75.0,91.7,75.0,78.1,100.0,74.5,100.0,84.1,-,60.9,-,39.1,-,35.9,-,61.4,0.0,72.7,75.0,74.5,75.0,57.7,100.0,59.0,100.0,60.2,100.0,69.3,100.0,82.1,-,43.5,-,72.2,-,74.1,-,64.8,-,45.4,-,50.0,100.0,95.2,75.0,74.5,0.0,70.7,0.0,82.8,75.0,43.3,75.0,85.3,75.0,84.9
29,M1 - M1,F - F,M1500 - Rivera (Suc. Angelopolis),86.5,75.3,87.5,78.6,50.0,74.2,87.5,83.0,75.0,82.6,93.8,80.4,100.0,83.1,-,71.0,-,42.5,-,50.8,-,58.6,75.0,82.4,68.8,69.5,50.0,41.8,37.5,34.7,50.0,43.5,50.0,29.9,87.5,76.5,87.5,31.9,100.0,79.9,100.0,72.1,100.0,69.1,87.5,29.4,87.5,56.0,100.0,99.1,93.8,73.1,75.0,71.2,100.0,84.1,-,-7.9,93.8,78.7,75.0,70.8
29,M1 - M1,F - F,M1509 - Automotriz Jalbra,98.6,82.9,100.0,78.6,100.0,85.4,100.0,88.9,100.0,86.6,100.0,81.4,100.0,88.4,-,66.0,-,26.0,-,47.0,-,43.0,100.0,84.1,91.7,75.3,75.0,49.0,100.0,52.0,100.0,44.9,75.0,33.1,100.0,82.0,-,21.0,-,61.3,-,41.9,-,38.7,-,23.4,-,23.9,100.0,96.4,100.0,80.5,100.0,91.8,66.7,82.3,100.0,14.4,100.0,86.8,100.0,84.2
20,M1 - M1,F - F,M1518 - Rispe Tuxtepec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,M1 - M1,F - F,M1698 - Dinastia Automotriz Oaxaca,50.0,88.1,87.5,87.5,87.5,83.5,100.0,88.7,87.5,88.7,87.5,88.8,87.5,92.4,75.0,81.2,75.0,65.6,75.0,78.3,75.0,78.1,100.0,87.4,50.0,86.6,-75.0,59.7,0.0,73.6,-100.0,28.1,-75.0,20.0,50.0,86.6,0.0,38.7,0.0,73.4,100.0,64.5,75.0,69.4,0.0,47.6,75.0,46.2,100.0,97.3,12.5,84.7,50.0,91.2,0.0,81.2,-75.0,45.0,50.0,91.5,50.0,86.9
30,M1 - M1,F - F,M3022 - Automotriz de Tuxpam,100.0,86.0,100.0,85.4,100.0,89.0,100.0,88.4,100.0,88.5,100.0,79.5,100.0,90.9,-,80.6,-,55.6,-,63.9,-,63.9,100.0,90.0,100.0,84.4,-,65.4,-,57.7,-,75.0,-,75.0,100.0,78.7,-,57.1,-,78.6,-,63.5,-,57.1,-,58.9,-,57.5,100.0,96.7,100.0,84.8,100.0,87.8,100.0,85.4,-,25.0,100.0,89.4,100.0,88.1
30,M1 - M1,F - F,M3028 - Automotriz Huasteca,97.2,79.2,100.0,78.0,100.0,78.0,100.0,89.0,100.0,81.5,100.0,73.2,100.0,80.1,-,50.0,-,33.3,-,28.6,-,41.7,100.0,88.0,91.7,77.4,75.0,44.7,100.0,51.6,75.0,47.7,75.0,51.2,100.0,75.3,-,14.1,-,38.6,-,52.3,-,46.6,-,21.6,-,16.7,100.0,96.8,91.7,70.5,100.0,87.8,100.0,81.0,-,26.7,100.0,84.8,100.0,86.9
30,M1 - M1,F - F,"M3107 - Automovilistica Veracruzana, S.A. DE C.V.",-,87.2,-,87.3,-,88.2,-,91.3,-,90.0,-,87.4,-,91.7,-,68.8,-,56.2,-,50.0,-,55.3,-,74.8,-,86.1,-,53.9,-,51.6,-,46.1,-,45.0,-,88.2,-,50.0,-,80.2,-,78.4,-,49.1,-,54.3,-,42.5,-,96.6,-,87.4,-,87.6,-,83.9,-,44.3,-,88.1,-,81.6
30,M1 - M1,F - F,M3116 - Super Autos Jalapa,86.7,83.0,70.0,82.2,60.0,86.3,75.0,86.5,90.0,85.2,75.0,81.3,90.0,85.3,87.5,59.1,37.5,47.6,37.5,47.5,87.5,73.8,100.0,86.3,85.0,75.0,75.0,55.6,83.3,54.5,25.0,56.0,50.0,59.4,90.0,84.4,0.0,19.6,87.5,64.1,87.5,70.7,87.5,62.0,0.0,27.2,75.0,31.2,100.0,97.2,85.0,85.1,100.0,78.6,80.0,84.6,75.0,36.7,95.0,84.9,75.0,83.3
30,M1 - M1,F - F,M3122 - Cordoba Automotriz,100.0,80.2,100.0,81.8,100.0,83.3,100.0,88.4,100.0,83.7,100.0,78.3,100.0,85.7,-,69.4,-,54.2,-,50.0,-,54.2,100.0,82.7,100.0,75.3,-,49.0,-,47.9,-,30.9,-,32.8,100.0,77.7,-,36.2,-,72.6,-,59.5,-,53.8,-,39.3,-,17.9,100.0,96.1,100.0,79.3,100.0,80.0,0.0,77.0,100.0,63.2,100.0,84.6,100.0,78.3
21,M1 - M1,F - F,M3243 - Vehiculos de Teziutlan,91.7,85.9,75.0,82.7,100.0,92.1,100.0,95.7,75.0,79.8,75.0,82.1,100.0,85.1,-,76.9,-,50.0,-,67.3,-,57.7,100.0,85.7,75.0,76.2,100.0,59.4,100.0,59.4,100.0,60.0,100.0,45.0,100.0,82.7,-,12.5,-,37.5,-,56.2,-,28.1,-,3.1,-,35.0,100.0,100.0,75.0,82.9,100.0,87.8,100.0,97.6,-,75.0,100.0,94.6,100.0,94.0
30,M1 - M1,F - F,M3515 - Autos Mil Cien,-,81.6,-,80.1,-,84.6,-,87.2,-,86.8,-,83.6,-,83.8,-,76.4,-,56.9,-,58.3,-,67.6,-,74.0,-,78.0,-,58.7,-,60.9,-,45.8,-,48.6,-,74.3,-,33.0,-,68.8,-,67.0,-,71.9,-,43.0,-,70.8,-,91.7,-,76.7,-,93.0,-,76.7,-,28.1,-,88.0,-,88.5
30,M1 - M1,F - F,M3603 - Vehiculos de Martinez,-,91.4,-,86.8,-,88.3,-,95.3,-,97.1,-,80.9,-,91.2,-,66.7,-,66.7,-,25.0,-,91.7,-,87.5,-,80.9,-,93.8,-,87.5,-,75.0,-,56.2,-,89.7,-,-100.0,-,100.0,-,100.0,-,100.0,-,100.0,-,100.0,-,100.0,-,95.6,-,100.0,-,87.5,-,100.0,-,94.1,-,97.1
21,M1 - M1,F - F,M3666 - Mylsa Tehuacan,-,74.3,-,80.3,-,81.0,-,88.8,-,76.1,-,72.3,-,80.9,-,72.1,-,45.6,-,55.9,-,54.4,-,63.0,-,68.5,-,46.6,-,54.5,-,22.5,-,17.5,-,70.7,-,19.4,-,47.2,-,79.2,-,61.1,-,16.7,-,17.5,-,96.0,-,70.7,-,83.0,-,87.2,-,0.0,-,80.3,-,74.5
30,M1 - M1,F - F,M3787 - Rispe Automotriz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,M2 - M2,A - A,M2164 - Plasencia Guadalajara,89.2,84.3,90.0,82.3,87.5,85.7,95.0,89.8,90.0,88.3,80.0,83.8,97.5,89.0,75.0,76.5,75.0,44.4,-,47.9,75.0,63.8,100.0,94.9,87.5,77.7,37.5,53.6,37.5,52.7,75.0,48.8,37.5,43.7,90.0,82.4,0.0,25.4,0.0,59.5,0.0,62.9,0.0,51.1,0.0,27.7,0.0,43.5,100.0,96.9,87.5,83.1,100.0,89.0,80.0,84.9,12.5,43.3,87.5,90.3,85.0,83.5
18,M2 - M2,A - A,M2268 - Plasencia de Nayarit,-,81.9,-,83.9,-,84.8,-,84.4,-,77.7,-,79.3,-,87.5,-,65.9,-,45.5,-,40.9,-,61.4,-,77.8,-,82.6,-,50.0,-,60.3,-,69.4,-,61.1,-,77.7,-,28.8,-,48.1,-,46.2,-,42.3,-,32.7,-,18.8,-,93.1,-,78.9,-,93.2,-,82.6,-,32.1,-,81.0,-,83.7
14,M2 - M2,A - A,M2319 - Jalisco Motors,64.6,88.3,50.0,89.6,75.0,88.1,87.5,91.1,50.0,90.3,50.0,83.3,50.0,90.6,0.0,60.8,0.0,47.5,0.0,55.4,0.0,56.7,100.0,87.6,50.0,86.2,0.0,50.6,0.0,56.1,0.0,44.6,0.0,42.9,50.0,87.4,0.0,32.7,0.0,59.2,0.0,62.8,0.0,65.4,0.0,46.2,0.0,39.3,100.0,95.6,50.0,87.9,100.0,91.6,100.0,89.6,-,68.4,100.0,89.9,87.5,87.8
25,M2 - M2,A - A,M2334 - Plasencia Mazatlan,-,88.1,-,87.2,-,87.5,-,89.8,-,87.0,-,79.3,-,93.0,-,56.8,-,40.9,-,34.1,-,54.5,-,88.0,-,86.7,-,61.0,-,59.0,-,73.4,-,78.1,-,85.5,-,31.8,-,54.5,-,40.5,-,60.2,-,43.2,-,31.8,-,94.5,-,84.7,-,93.5,-,89.2,-,33.3,-,90.8,-,88.2
14,M2 - M2,A - A,M2364 - Jimenez Automotriz,-,83.7,-,83.2,-,82.0,-,87.2,-,87.9,-,79.7,-,90.4,-,66.7,-,47.9,-,39.6,-,50.0,-,85.5,-,82.8,-,59.2,-,62.5,-,59.4,-,41.4,-,82.9,-,20.1,-,81.4,-,75.0,-,69.2,-,17.3,-,16.0,-,95.8,-,80.3,-,91.9,-,82.6,-,15.8,-,85.3,-,80.5
14,M2 - M2,A - A,M2408 - Plasencia Guadalajara (Suc.Santa Anita),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,M2 - M2,A - A,M2436 - Plasencia Puerto Vallarta,100.0,92.6,100.0,96.5,100.0,93.0,100.0,96.1,100.0,94.1,100.0,93.4,100.0,95.3,-,85.0,-,15.0,-,65.0,-,90.0,100.0,98.4,100.0,94.1,-,77.1,-,81.2,-,65.0,-,65.0,100.0,94.1,-,55.0,-,85.0,-,90.0,-,75.0,-,35.0,-,87.5,100.0,100.0,100.0,91.4,66.7,92.2,100.0,96.9,-,50.0,100.0,91.8,100.0,88.7
3,M2 - M2,A - A,M2457 - Automotriz Baja Cal,95.8,80.4,91.7,79.2,91.7,82.0,58.3,86.2,100.0,87.1,91.7,86.7,100.0,85.5,-,71.2,-,23.8,-,32.5,-,37.5,100.0,87.0,91.7,79.6,100.0,58.3,75.0,57.6,75.0,46.9,100.0,54.0,91.7,72.9,100.0,5.3,100.0,45.5,100.0,56.8,100.0,55.3,100.0,31.1,75.0,32.3,100.0,95.1,100.0,75.9,100.0,87.0,66.7,78.5,75.0,23.8,91.7,84.6,100.0,83.9
14,M2 - M2,A - A,M2478 - Tepatitlan Motors,-,94.1,-,94.4,-,91.7,-,91.3,-,92.1,-,92.9,-,94.4,-,45.0,-,30.0,-,30.0,-,30.0,-,91.8,-,91.1,-,60.0,-,65.0,-,35.0,-,60.0,-,94.8,-,28.6,-,60.7,-,46.4,-,25.0,-,46.4,-,37.5,-,98.1,-,90.9,-,95.2,-,79.4,-,87.5,-,97.2,-,96.0
14,M2 - M2,A - A,M2497 - Country Motors,94.4,86.6,100.0,85.5,100.0,87.6,100.0,90.9,100.0,91.5,100.0,90.2,66.7,93.2,75.0,79.7,0.0,45.3,0.0,47.0,100.0,55.3,66.7,88.1,100.0,81.9,-,60.3,-,58.4,-,41.8,-,50.0,100.0,86.8,-,22.1,-,67.5,-,55.8,-,52.5,-,39.5,-,27.3,100.0,92.9,100.0,84.3,100.0,89.1,66.7,84.0,100.0,55.4,100.0,89.1,100.0,84.2
14,M2 - M2,A - A,M2525 - Country Motors (Suc. Country Zoo),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,M2 - M2,A - A,M2645 - Centro Automotriz Vallarta,87.5,85.5,92.9,82.4,96.4,83.9,96.4,85.2,96.4,90.8,96.4,88.0,92.9,90.9,87.5,61.9,75.0,35.6,87.5,48.1,37.5,47.4,100.0,92.1,96.4,83.6,75.0,56.3,75.0,54.6,75.0,42.1,75.0,48.3,78.6,85.4,25.0,17.8,91.7,64.4,91.7,45.2,91.7,38.0,58.3,13.5,91.7,16.5,100.0,94.4,92.9,84.1,85.7,92.1,85.7,83.8,100.0,20.8,92.9,86.0,71.4,83.0
1,M2 - M2,B - B,M2018 - AP Automotriz,-,88.9,-,90.7,-,83.3,-,89.7,-,89.1,-,80.4,-,92.9,-,75.0,-,57.8,-,53.1,-,56.2,-,87.2,-,86.5,-,66.7,-,60.7,-,56.7,-,63.3,-,88.3,-,55.6,-,70.8,-,66.7,-,61.1,-,45.8,-,55.8,-,93.3,-,90.8,-,89.6,-,88.5,-,41.7,-,89.7,-,85.3
11,M2 - M2,B - B,M2114 - Rangel de Alba,68.8,71.6,75.0,82.4,75.0,76.5,87.5,84.6,100.0,76.0,87.5,77.5,100.0,80.4,-,51.7,-,10.0,-,10.7,-,30.0,50.0,75.0,87.5,65.4,75.0,52.8,75.0,50.0,75.0,42.2,0.0,26.6,75.0,70.2,0.0,40.2,87.5,59.8,75.0,66.3,75.0,59.8,75.0,29.3,-12.5,10.7,50.0,87.9,75.0,71.6,50.0,73.1,100.0,82.7,-,55.6,37.5,79.3,37.5,62.5
11,M2 - M2,B - B,M2297 - Leon Automotriz,58.3,85.0,75.0,84.1,100.0,86.4,100.0,94.0,100.0,87.8,75.0,76.9,100.0,88.8,-,84.8,-,54.5,-,55.4,-,61.6,0.0,78.9,75.0,78.1,75.0,51.4,75.0,53.9,75.0,55.8,75.0,48.1,100.0,79.5,-,24.3,-,50.7,-,59.3,-,46.4,-,33.6,-,29.2,100.0,99.0,75.0,84.3,100.0,89.0,100.0,88.4,-,18.3,0.0,90.0,0.0,89.1
24,M2 - M2,B - B,M2377 - Autos SS de San Luis Potosi,99.0,75.6,100.0,77.7,93.8,84.8,100.0,92.5,100.0,79.1,93.8,71.3,100.0,79.5,-,59.2,-,23.7,-,30.3,-,22.4,100.0,83.3,93.8,74.3,75.0,33.3,75.0,29.2,100.0,27.4,75.0,33.0,100.0,71.3,-,-11.4,-,31.8,-,35.2,-,40.9,-,18.2,-,19.0,100.0,96.7,100.0,73.1,100.0,84.8,100.0,79.1,-,17.9,100.0,79.9,100.0,75.4
24,M2 - M2,B - B,M2510 - Automotriz Lomas San Luis,76.4,81.5,91.7,79.8,100.0,78.8,91.7,86.1,100.0,87.0,66.7,79.6,66.7,86.1,75.0,72.6,75.0,34.5,75.0,50.0,100.0,52.4,66.7,81.7,83.3,77.9,50.0,48.6,87.5,47.2,50.0,47.8,100.0,69.8,91.7,84.6,100.0,18.0,-75.0,68.0,100.0,51.0,100.0,49.0,75.0,39.0,0.0,52.6,100.0,98.6,58.3,80.3,100.0,82.7,66.7,80.6,0.0,9.2,91.7,81.5,66.7,78.6
1,M2 - M2,B - B,M2514 - Aguascalientes Automotriz,-,91.5,-,87.3,-,93.1,-,92.4,-,89.3,-,90.9,-,90.6,-,53.6,-,25.0,-,35.7,-,32.1,-,82.6,-,92.4,-,25.0,-,8.3,-,21.9,-,34.4,-,90.9,-,-12.5,-,40.6,-,53.1,-,37.5,-,43.8,-,16.7,-,93.6,-,91.3,-,91.3,-,88.4,-,28.1,-,91.7,-,92.4
