CVE_ENT,Región,Mercado,Distribuidores principales,Concesionaria,VExperienciaClienteNov,VExperienciaClienteAcum,VSatisfacciónNov,VSatisfacciónAcum,VOpiniónGeneralNov,VOpiniónGenAcum,VEntregaNov,VEntregaAcum,VSeguimientoNov,VSeguimientoAcum,VQuejasNov,VQuejasAcum,VFConfianzaNov,VConfianzaAcum,VCalidadTNov,VCalidadTAcum
30,M1 - M1,F - F,M3022 - Automotriz de Tuxpam (grupo ),M3022 - Automotriz de Tuxpam,100,86,100,85.4,100,90.9,100,78.7,100,87.8,100,85.4,100,89,100,88.4
30,M1 - M1,F - F,M3028 - Automotriz Huasteca (grupo ),M3028 - Automotriz Huasteca,97.2,79.2,100,78,100,80.1,100,75.3,100,87.8,100,81,100,78,100,89
30,M1 - M1,F - F,"M3107 - Automovilistica Veracruzana, S.A. DE C.V. (grupo )","M3107 - Automovilistica Veracruzana, S.A. DE C.V.",-,87.2,-,87.3,-,91.7,-,88.2,-,87.6,-,83.9,-,88.2,-,91.3
30,M1 - M1,F - F,M3116 - Super Autos Jalapa (grupo ),M3116 - Super Autos Jalapa,86.7,83,70,82.2,90,85.3,90,84.4,100,78.6,80,84.6,60,86.3,75,86.5
30,M1 - M1,F - F,M3122 - Cordoba Automotriz (grupo ),M3122 - Cordoba Automotriz,100,80.2,100,81.8,100,85.7,100,77.7,100,80,0,77,100,83.3,100,88.4
21,M1 - M1,F - F,M3243 - Vehiculos de Teziutlan (grupo ),M3243 - Vehiculos de Teziutlan,91.7,85.9,75,82.7,100,85.1,100,82.7,100,87.8,100,97.6,100,92.1,100,95.7
30,M1 - M1,F - F,M3515 - Autos Mil Cien (grupo ),M3515 - Autos Mil Cien,-,81.6,-,80.1,-,83.8,-,74.3,-,93,-,76.7,-,84.6,-,87.2
30,M1 - M1,F - F,M3603 - Vehiculos de Martinez (grupo ),M3603 - Vehiculos de Martinez,-,91.4,-,86.8,-,91.2,-,89.7,-,100,-,87.5,-,88.3,-,95.3
21,M1 - M1,F - F,M3666 - Mylsa Tehuacan (grupo ),M3666 - Mylsa Tehuacan,-,74.3,-,80.3,-,80.9,-,70.7,-,83,-,87.2,-,81,-,88.8
30,M1 - M1,F - F,M3787 - Rispe Automotriz (grupo ),M3787 - Rispe Automotriz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,M2 - M2,A - A,M2164 - Plasencia Guadalajara (grupo ),M2164 - Plasencia Guadalajara,89.2,84.3,90,82.3,97.5,89,90,82.4,100,89,80,84.9,87.5,85.7,95,89.8
18,M2 - M2,A - A,M2268 - Plasencia de Nayarit (grupo ),M2268 - Plasencia de Nayarit,-,81.9,-,83.9,-,87.5,-,77.7,-,93.2,-,82.6,-,84.8,-,84.4
14,M2 - M2,A - A,M2319 - Jalisco Motors (grupo ),M2319 - Jalisco Motors,64.6,88.3,50,89.6,50,90.6,50,87.4,100,91.6,100,89.6,75,88.1,87.5,91.1
25,M2 - M2,A - A,M2334 - Plasencia Mazatlan (grupo ),M2334 - Plasencia Mazatlan,-,88.1,-,87.2,-,93,-,85.5,-,93.5,-,89.2,-,87.5,-,89.8
14,M2 - M2,A - A,M2364 - Jimenez Automotriz (grupo ),M2364 - Jimenez Automotriz,-,83.7,-,83.2,-,90.4,-,82.9,-,91.9,-,82.6,-,82,-,87.2
14,M2 - M2,A - A,M2408 - Plasencia Guadalajara (Suc.Santa Anita) (grupo ),M2408 - Plasencia Guadalajara (Suc.Santa Anita),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,M2 - M2,A - A,M2436 - Plasencia Puerto Vallarta (grupo ),M2436 - Plasencia Puerto Vallarta,100,92.6,100,96.5,100,95.3,100,94.1,66.7,92.2,100,96.9,100,93,100,96.1
3,M2 - M2,A - A,M2457 - Automotriz Baja Cal (grupo ),M2457 - Automotriz Baja Cal,95.8,80.4,91.7,79.2,100,85.5,91.7,72.9,100,87,66.7,78.5,91.7,82,58.3,86.2
14,M2 - M2,A - A,M2478 - Tepatitlan Motors (grupo ),M2478 - Tepatitlan Motors,-,94.1,-,94.4,-,94.4,-,94.8,-,95.2,-,79.4,-,91.7,-,91.3
