CVE_ENT,Región,Mercado,Distribuidores principales,Concesionaria,VExperienciaClienteNov,VExperienciaClienteAcum,VSatisfacciónNov,VSatisfacciónAcum,VOpiniónGeneralNov,VOpiniónGenAcum,VEntregaNov,VEntregaAcum,VSeguimientoNov,VSeguimientoAcum,VQuejasNov,VQuejasAcum,VFConfianzaNov,VConfianzaAcum,VCalidadTNov,VCalidadTAcum
28,M3 - M3,A - A,M3037 - Automotriz Reynosa (grupo ),M3037 - Automotriz Reynosa,98.6,82,100,81.5,100,86,100,82.2,66.7,84.8,100,84.8,100,82.8,100,93.1
28,M3 - M3,A - A,"M3102 - Mexicana Automotriz, S.A. de C.V. (grupo )","M3102 - Mexicana Automotriz, S.A. de C.V.",-,67.2,-,75.9,-,81,-,51.7,-,72.4,-,85.7,-,80.4,-,95.5
19,M3 - M3,A - A,M3140 - Auto Camiones Universidad (grupo ),M3140 - Auto Camiones Universidad,83.3,83.1,75,80.3,87.5,85.8,87.5,79.4,0,86.4,100,83.9,37.5,86.9,100,91
24,M3 - M3,A - A,M3181 - Automoviles de Valles (grupo ),M3181 - Automoviles de Valles,70.8,91.6,75,89.2,100,93.9,0,87.8,100,89.2,100,89.2,100,94.6,100,98
5,M3 - M3,A - A,M3447 - Automotores Coahuilenses (grupo ),M3447 - Automotores Coahuilenses,89.8,86,94.4,83.8,97.2,92,69.4,81.9,100,87.3,77.8,85.7,88.9,87.8,94.4,91.7
19,M3 - M3,A - A,M3522 - Auto Camiones Universidad (Suc. La Fe) (grupo ),M3522 - Auto Camiones Universidad (Suc. La Fe),-,82.7,-,83.2,-,88.3,-,82.4,-,78.6,-,86.7,-,86.3,-,86.2
28,M3 - M3,A - A,M3527 - Vista Hermosa Laredo Motors (grupo ),M3527 - Vista Hermosa Laredo Motors,-,84,-,78.8,-,80.5,-,84.2,-,75.3,-,75.3,-,89,-,94.5
19,M3 - M3,A - A,M3654 - Car One Valle (grupo ),M3654 - Car One Valle,66.7,82.2,0,77.7,75,87.8,0,84.5,0,79.5,0,83.1,75,82.6,75,87.3
19,M3 - M3,A - A,M3788 - Automotores Cumbres (grupo ),M3788 - Automotores Cumbres,89.2,82.2,90,79.4,95,85.6,95,84.2,60,78.9,100,81.1,95,79.4,80,82.9
28,M3 - M3,B - B,M3020 - Automotriz Tampico (grupo ),M3020 - Automotriz Tampico,-66.7,77,-100,73.8,0,83.5,-75,72.9,0,73.3,0,81.7,-75,75,0,81.4
28,M3 - M3,B - B,M3039 - Automotriz Victoria (grupo ),M3039 - Automotriz Victoria,100,81,100,80.2,100,81.9,100,73,100,93.1,100,81.6,100,84.3,100,89.1
8,M3 - M3,B - B,M3065 - Productos Automotrices (Suc. Parral) (grupo ),M3065 - Productos Automotrices (Suc. Parral),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,M3 - M3,B - B,M3074 - Chihuahua Motors (grupo ),M3074 - Chihuahua Motors,97.9,81,100,79.9,100,80.3,100,78.3,100,86.8,100,86.8,50,82,87.5,86.8
5,M3 - M3,B - B,M3077 - Distribuidora de Automoviles (grupo ),M3077 - Distribuidora de Automoviles,-91.7,86,-100,86.2,-75,89.3,-100,87,0,73.5,0,90,-100,81,-100,89
10,M3 - M3,B - B,M3101 - CEVER DURANGO (grupo ),M3101 - CEVER DURANGO,100,80,100,82.1,100,87.6,100,80.6,100,87.9,50,87.9,100,79.9,100,85.4
28,M3 - M3,B - B,M3121 - Superservicio (grupo ),M3121 - Superservicio,100,80.1,100,81.6,100,84.3,100,76.7,100,76.1,66.7,83.1,91.7,79,100,88.4
8,M3 - M3,B - B,M3161 - Chihuahua Motors (Suc. Cuauhtemoc) (grupo ),M3161 - Chihuahua Motors (Suc. Cuauhtemoc),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,M3 - M3,B - B,M3332 - Centro Automotriz de la Laguna (grupo ),M3332 - Centro Automotriz de la Laguna,-,88.1,-,92,-,93.2,-,86.1,-,82.7,-,82.7,-,84.8,-,88.8
8,M3 - M3,B - B,M3357 - Productos Automotrices (Suc. Delicias) (grupo ),M3357 - Productos Automotrices (Suc. Delicias),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,M3 - M3,B - B,"M3440 - Productos Automotrices, S.A. (grupo )","M3440 - Productos Automotrices, S.A.",100,86.2,100,84.4,100,89.2,100,84.7,85.7,90.8,71.4,84.3,100,87.4,100,91.9
8,M3 - M3,B - B,M3480 - Productos Automotrices (Suc. Casas Grandes) (grupo ),M3480 - Productos Automotrices (Suc. Casas Grandes),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,M3 - M3,B - B,M3485 - Automotriz Elfer (grupo ),M3485 - Automotriz Elfer,100,90.1,-,90.4,100,93.9,100,90.9,100,91.2,100,89,100,90.1,100,94.4
26,M3 - M3,C - C,M2050 - Autos y Accesorios (grupo ),M2050 - Autos y Accesorios,-,82.8,-,76.7,-,89.2,-,79.4,-,83.7,-,83,-,83.5,-,90.9
